"hab2study","H1","xmax","h","h_hv","T","hv","D","KC","Re","atten","k","Cd","n","H1sd","xmaxsd","hsd","h_hvsd","Tsd","hvsd","Dsd","KCsd","Resd","attensd","ksd","Cdsd","Cdnozero","KClog","Relog","klog","Cdlog","KCsdlog","Resdlog","ksdlog","Cdsdlog","Hab2","Hab3","Study","Real"
"Kelp (Art.)Kobayashi et al. 1993/Asano et al. 1988",0.115,7,0.485,1.94,1.250440917,0.25,1295,3.224890511,7400.772509,0.217391304347826,0.0350174940047122,0.073146531,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073146531,0.508514974389668,3.86927705471549,-1.45571493703233,-1.13580626561908,NA,NA,NA,NA,"Kelp (Art.)","Kelp","Kobayashi et al. 1993/Asano et al. 1988",FALSE
"Kelp (Art.)Mendez & Losada 2004 (data from Dubi 1995)",0.137833333333333,6.81666666666667,0.633333333333333,3.16666666666667,2.42166666666667,0.2,1200,20.1583519696667,5184.92709666667,0.203805123053164,0.0252692959694065,0.110974509,6,0.0363726087415608,0.516397779494322,0.206559111797729,1.03279555898864,0.76572623480371,0,0,7.44867440974213,1214.50880025325,0.143062252140718,0.0196743689062571,0.0644660437618949,0.110974509,1.27460195241287,3.70430130599299,-1.70608127646388,-1.04968746579932,0.186215687327944,0.105642148172157,0.339214137459064,0.361632445210335,"Kelp (Art.)","Kelp","Mendez & Losada 2004 (data from Dubi 1995)",FALSE
"KelpElwany et al. 1995",0.692611092172223,414,10.5,1,12.98125,10.5,4,485.8659538875,3322.3780758125,-0.121661839824274,-0.000271135282774709,-0.2215155499375,16,0.310110087979521,0,0,0,2.11855886551841,0,0,136.50151545855,1170.62705734625,0.081681029208628,0.000180015146871437,0.422626437593405,0.0664883969375,2.67033390041171,3.49556386612721,-3.74498345612068,-1.06492910632423,0.123754614558868,0.15652296781807,NA,0.541911344204798,"Kelp","Kelp","Elwany et al. 1995",TRUE
"KelpMork 1996",NA,258,7.3,4.42424242424243,9.5,1.65,21,NA,NA,NA,NA,NA,2,NA,0,0.989949493661167,0.599969390097678,3.53553390593274,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kelp","Kelp","Mork 1996",TRUE
"KelpRosman et al. 2007",0.766526099316463,128,10.3615228201485,0.878095154249874,12.0788638715347,11.8,9,447.792304906931,3119.67978876238,0.0143609870871054,0.000200403170219454,0.964836798574257,101,0.221298256472019,0,0.480813400624121,0.0407468983579764,1.47482818617051,0,0,177.461698199017,1000.91671006864,0.147896754995143,0.00117816089479163,1.85156758375377,1.28069211085149,2.62134309360744,3.47442138151234,-3.32746978897161,0.0872988003205832,0.158584784799996,0.128626802646278,0.692180379092779,0.427759113882186,"Kelp","Kelp","Rosman et al. 2007",TRUE
"MangroveMassel et al. 1999",NA,133.333333333333,1.025,NA,2.02606666666667,NA,NA,NA,NA,NA,NA,NA,3,NA,46.1880215351701,0.198431348329844,NA,0.16707654932196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove","Mangrove","Massel et al. 1999",TRUE
"MangroveMazda et al. 1997",0.192839763286373,2227,0.581898952747222,1.59323289373366,6.5,0.365231571,1.29842288,5.4733026302,40577.0962146667,0.837290777274405,0.000787429898831891,0.141809422433333,30,0.0229719789866536,416.985487219548,0.138757832630779,0.379917410345609,0,0,0,1.50496574853577,11049.4415158637,0.132666257022364,0.000208527820227893,0.0580746336864378,0.141809422433333,0.724277018177679,4.59451888285397,-3.11810296890508,-0.898507587448404,0.108898509388872,0.108211035459617,0.113334832367233,0.23496836925227,"Mangrove","Mangrove","Mazda et al. 1997",TRUE
"MangroveMazda et al. 2006",0.152384905045782,380,0.745442007783883,0.496961338522588,9,1.5,0.08,16.5477051158242,21512.016650989,0.296941138880886,0.000958383854653578,7.01091228247253,91,0.0604621294216932,0,0.229682744457899,0.153121829638599,0,0,0,3.88262905864841,5047.41777499136,0.039561616511773,0.0001442275331893,5.83329562819562,7.16825464451648,1.20680840712049,4.32075175944126,-3.02361895548241,0.63249235621942,0.102689254526201,0.102689254504595,0.0684271646389039,0.563220165298927,"Mangrove","Mangrove","Mazda et al. 2006",TRUE
"MangroveQuartel et al. 2007",0.146033082835165,31.8,0.759377472527473,NA,5.262664103,1.854055,0.962538333,8.09905698956044,33673.085032967,0.208164092414472,0.00739010990378096,2.68947529602198,91,0.0186285537657652,0,0.231098759103325,NA,0,0,0,0.978455272765803,4068.07948637606,0.0454508804709536,0.00178505056136303,1.38247421742344,2.68947529602198,0.905516252820016,4.5243647049461,-2.14639650883375,0.306615505616288,0.049769668418281,0.0497696684167638,0.122035269078066,0.423451721768763,"Mangrove","Mangrove","Quartel et al. 2007",TRUE
"MangroveVo-Luong & Massel 2006; 2008",0.36042174746505,68,1.17586125,0.39195375,1.2,3,0.226379989875,0.343503868875,20031.528152125,0.574533677156509,0.016621679902097,-3.891190781625,16,0.0254144013939527,0,0.340132739223478,0.113377579741159,0,0,0,0.167968578902891,9795.13658961797,0.08897679227555,0.00418780592404201,4.37825479613395,0.416435677875,-0.519296003056001,4.24648644590624,-1.79365650383642,-0.378202563534994,0.235153706607674,0.235153706373779,0.118399714153891,0.825371263033753,"Mangrove","Mangrove","Vo-Luong & Massel 2006; 2008",TRUE
