%kk,PairID,WaveType,T,D,A,hv,H1,x1,h1,H2,x2,h2,H3,x3,h3,H4,x4,h4,H5,x5,h5,H6,x6,h6,H7,x7,h7,H8,x8,h8,H9,x9,h9,Field,id,StudyID,nHfit,Cdval2,Difval2,R2val2,Bval2,slo,flatbed,ReMean, ReSd, KCMean, KCSd
1,7,1,1.6,0,0,0,0.154931806,0,0.49,0.154931806,2.44,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,363,14,,-999,999,,0.4,18.76923077,0,0,0,Inf,NaN
2,7,1,1.6,0,0,0,0.127590899,0,0.53,0.118477263,4.88,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,364,14,,-999,999,,0.4,28.70588235,0,0,0,Inf,NaN
3,7,1,1.6,0,0,0,0.14581817,0,0.58,0.136704535,9.75,0.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,365,14,,-999,999,,0.4,31.4516129,0,0,0,Inf,NaN
4,3,1,7.5,0.1,0.01,10.5,1.477853173,63,13,1.371787156,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,285,11,,0.372213553,4.49E-14,,1.5,82.8,0,5236.908861,0,459.5387526,0
5,3,1,8.8,0.1,0.01,10.5,1.209152596,63,13,1.258650071,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,286,11,,0.053151182,4.25E-13,,1,82.8,0,5121.773699,0,527.33782,0
6,3,1,13.5,0.1,0.01,10.5,0.940452019,63,13,1.166726189,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,287,11,,-0.61190258,999,,0.4,82.8,0,5194.232576,0,820.4290353,0
7,3,1,12.8,0.1,0.01,10.5,0.799030663,63,13,0.975807358,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,288,11,,-0.651345951,999,,0.4,82.8,0,4313.741642,0,646.0259482,0
8,3,1,12.8,0.1,0.01,10.5,0.820243866,63,13,0.862670273,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,289,11,,0.235230337,1.52E-13,,0.5,82.8,0,3813.597683,0,571.124389,0
9,3,1,12,0.1,0.01,10.5,0.749533188,63,13,0.827314934,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,290,11,,-0.094079977,999,,0.4,82.8,0,3621.25667,0,508.4244365,0
10,3,1,12,0.1,0.01,10.5,0.74246212,63,13,0.806101731,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,291,11,,0.014663221,1.08E-12,,1.6,82.8,0,3528.403935,0,495.3879125,0
11,3,1,14.8,0.1,0.01,10.5,0.61730422,63,13,0.749533188,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,292,11,,-0.736865506,999,,0.4,82.8,0,3372.292849,0,583.9462297,0
12,3,1,14.8,0.1,0.01,10.5,0.578413347,63,13,0.653366666,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,293,11,,-0.207732825,999,,0.4,82.8,0,2939.621313,0,509.0248266,0
